1|^وحدة سألت اخوها : ليش امي وابي بالغرفه من اسبوع …؟^^ ^قال : ما بعرف وضحك^^ ^سألته ليش تضحك^^^قال: ابي طلب مني فازلين وعطيته صمغ|0|0
2|جندية اميركية عادت الى بلدها بعد حرب العراق وهي حامل قال لها زوجها عملوها العراقيين قالت له لا والله بنيران صديقة|0|0
3|واحد قال لمراته: “لما اولع الولاعة قدام الولاد معناها عاوز أنام معاكي..”^^ ^ ^^ ^تاني يوم ولع مرة.. ومرتين.. وتلاتة وهي نايمة،^^ ^ ^^ ^قام ابنه قال لأخوه: “صحي أمك قبل أبوك ما يحرقنا..”|0|0
4|محشش اشترى فلم سكس وخاف أهله يشوفوه^^ ^ ^^ ^كتب عليه “عالم الحيوان المنوي”|0|0
5|صعيدي خد حبيتين فياجرا كتب على ظهر الجلبية^^ ^ ^^ ^“إحذر! وقوف متكرر!!”|0|0
6|راجل نايم مع مراته^^ ^ ^^ ^الزوجه: “آه كفاية آه كفاية كفاية”^^ ^ ^^ ^الزوج: “جري إيه يا ولية؟ هي  مظاهرة؟؟”|0|0
7|واد شاف صدر أمه فسألها: “إيه ده يا ماما؟”^^ ^ ^^ ^قالتله: “بالونات يا حبيبى”^^ ^ ^^ ^قالها: “بالونات الشغالة أكبر من بالوناتك”^^ ^ ^^ ^قالتله: “عرفت أزاى؟؟”^^ ^ ^^قالها: “شفتهم لما بابا كان بينفخهم^^|0|0
8|2 صحاب سلاكط تزوجوا فنهار واحد ^الغد ليه تلاقاو فالقهوة وهو يسول الأول الثاني أمضرة كي كانت الليلة ؟^جاوبو صاحبو غير سكت راني قفرتها ملي ناضت المدام فالصباح نسيت راسي ومديت ليها 200 درهم وهي تحيح ودابا راه طالبة الطلاق^وهو يقول ليه صاحبو نتا راه عندك الزهر أنا راه مديت ليها 200 درهم وهي ديرها ف الصاك وخرجات|0|0
9|واحد المرا لاحضات خطوط كحلا في فخضها ليصر مشات عند الطبيب قلبها ڭلها : راجلك^فاش خدام ڭتليه : نجار ڭلهاسمعي ألمدام ڭولي للزامل دراجلك ملي يبغي يلحس ^الطبون يحيد الستيلو من ودنو ههههه|0|0
10|واحد تزوج دوز الليلة ديال الدخلة عادي... ف الغد ناضت مرتو كٌالت ليه صباح ^الخير حبيبي كٌاليها وجهك صحيح كون حواني أنا شي واحد مانهضرش معاه حياتي ^كاملة هههههه|0|0
11|ﻫﺎ